Stock,Date,Identified Price,Week Day 1 Close,Week Day 2 Close,Week Day 3 Close,Week Day 4 Close,Week Day 5 Close,Week Day 6 Close,Week Day 7 Close,1 Month Close Price,3 Month Close Price,1 Week Return (%),1 Month Return (%),3 Month Return (%)
GANESHHOUC,10/13/2024,991.9000244,991.9000244,991.9000244,1008.200012,1029.699951,1022,1020.450012,982.0499878,1107.150024,1236.800049,,,
JASH,10/13/2024,483.2099915,483.2099915,483.2099915,492.2999878,511.1300049,518.6900024,518.6300049,492.8399963,476.2999878,593,,,
360ONE,10/14/2024,1063.599976,1063.599976,1114.75,1122.199951,1108.400024,1069.25,1104.849976,1104.849976,1038.75,1129.099976,3.87833781,-2.336402422,6.158330341
FINPIPE,10/15/2024,315.2000122,315.2000122,322.6499939,312.3999939,326.0499878,322.0499878,322.0499878,322.0499878,263.2999878,219.6999969,2.173215521,-16.46574315,-30.29822702
AJMERA,10/15/2024,779.25,779.25,830.7000122,804.8499756,868.9500122,895.2000122,895.2000122,895.2000122,863.3499756,1085.300049,14.87969358,10.79242548,39.27495012
ORIENTCEM,10/15/2024,300.8500061,300.8500061,328.6499939,342.6000061,331.75,352.4500122,352.4500122,352.4500122,336.6499939,335.1000061,17.15140604,11.89961345,11.38441061
ABSLAMC,10/15/2024,698.2999878,698.2999878,779.0499878,765.2999878,761.6500244,753.4500122,753.4500122,753.4500122,780.75,782.0999756,7.897755317,11.80724812,12.00057128
GANGESSECU,10/16/2024,180.2100067,180.2100067,186.9700012,191.7400055,224.2299957,224.2299957,224.2299957,201.8300018,191.0500031,172.9199982,11.99711132,6.015202227,-4.045285097
BBOX,10/17/2024,478.6000061,478.6000061,502.5,489.0499878,489.0499878,489.0499878,464.6499939,474.6499939,550.1500244,616.25,-0.825326401,14.94985738,28.76096785
TTL,10/22/2024,120.6100006,120.6100006,125.5,126.8700027,125.0800018,128.3500061,128.3500061,128.3500061,163.3000031,140.4700012,6.417382849,35.39507688,16.46629675
FEDERALBNK,10/28/2024,184.9900055,184.9900055,200.6999969,203.2400055,203.9100037,204.1699982,204.2899933,204.2899933,213.6399994,188.1100006,10.43298947,15.48731988,1.686574963
TEJASNET,10/29/2024,1243.800049,1243.800049,1253.25,1341.849976,1369.599976,1314,1314,1314,1345.25,993.75,5.643990064,8.156451776,-20.10371756
STEELCITY,10/29/2024,93.02581787,93.02581787,98.8969574,101.9416122,103.4986572,107.396225,107.396225,107.396225,109.2805405,101.5500031,15.44776217,17.47334554,9.163246694
360ONE,10/29/2024,1025.199951,1025.199951,1061.349976,1090.5,1076.599976,1037.699951,1037.699951,1037.699951,1132,1127.400024,1.219274346,10.41748478,9.968794197
TCI,10/29/2024,1045.100708,1045.100708,1063.06311,1075.1604,1078.296753,1171.88855,1171.88855,1171.88855,1082.428711,1007.256653,12.13163869,3.571713486,-3.621091717
SHAILY,10/30/2024,991.75,991.75,1008.599976,1029,979,979,979,1045.150024,1293,1369.199951,5.384423939,30.37559869,38.05898172
HECPROJECT,10/30/2024,114.3600006,114.3600006,125.7900009,132.0700073,138.6699982,138.6699982,138.6699982,145.6000061,120.5899963,122.5199966,27.31724845,5.447705224,7.135358507
SUMICHEM,10/30/2024,565.5499878,565.5499878,573.2999878,570.5999756,560.6500244,560.6500244,560.6500244,566.8499756,534.6500244,505.8500061,0.22986258,-5.463701538,-10.55609283
INOXWIND,10/30/2024,218.9199982,218.9199982,223.8000031,222.9600067,216.0399933,216.0399933,216.0399933,218.8699951,193.6600037,138.9900055,-0.022840788,-11.53845913,-36.51105123
PIXTRANS,10/31/2024,1599.650024,1599.650024,1613.449951,1605.5,1605.5,1605.5,1617.5,1614.650024,2545.449951,1940.650024,0.937705109,59.12542821,21.3171628
